Variable,Rel_importance,Standardised_coef,Raw_coef
Siganus.luridus,0.3472651840266138,0.4314602481521125,0.4314602481521125
temp_Sparisoma.cretense,0.2041989866505785,-0.33085443309977314,-0.33085443309977314
Sparisoma.cretense,0.13759335738072578,0.2715869518228699,0.2715869518228699
prod,0.12904133224082073,0.26301140780045307,0.28421223330733253
temp_Siganus.luridus,0.10493936540183339,-0.2371807202832122,-0.2371807202832122
depth,0.028968278646959562,-0.12461534136233697,-0.12461534136233697
depth_Siganus.luridus,0.015004890436360496,-0.08968639778986076,-0.08968639778986076
depth_Sparisoma.cretense,0.014385214462285455,0.08781492551916867,0.08781492551916867
Siganus.rivulatus,0.3349546005005849,0.4314602481521125,0.4314602481521125
mpa_Sparisoma.cretense,0.12039430397259027,0.258672812757323,0.258672812757323
temp_Siganus.rivulatus,0.10121925500099133,-0.2371807202832122,-0.2371807202832122
Sparisoma.cretense,0.09367039880199654,0.22816498666338056,0.22816498666338056
mpa,0.08687549168870831,0.2197335909673119,0.2197335909673119
temp,0.08297832474555458,0.21474850379324403,0.21474850379324403
prod_Sparisoma.cretense,0.07177671154236598,-0.19972829470617715,-0.19972829470617715
depth,0.044404560172846434,0.15709472478556843,0.15709472478556843
prod,0.018789245338735695,-0.10218860816522776,-0.11042582824864552
temp_Sparisoma.cretense,0.015041470014695222,0.09143089194783413,0.09143089194783413
depth_Siganus.rivulatus,0.014472965655206586,-0.08968639778986076,-0.08968639778986076
temp,0.4697793578100586,-0.22607606032958807,-0.22607606032958807
depth_Sparisoma.cretense,0.15490057378692698,-0.1298177640646682,-0.1298177640646682
prod_Sparisoma.cretense,0.13724736787510497,0.1221967410728634,0.1221967410728634
mpa_Sparisoma.cretense,0.045175093230113164,0.0701063150573849,0.0701063150573849
depth,0.037897702860705255,-0.06421168324421157,-0.06421168324421157
Siganus.rivulatus,0.03612942646166568,-0.06269575623191803,-0.06269575623191803
prod,0.03375922492327063,-0.06060435661291269,-0.06548955303938056
Siganus.luridus,0.029307169944693748,-0.05646697891559787,-0.05646697891559787
temp_Sparisoma.cretense,0.026220806692435105,0.05341099097879583,0.05341099097879583
Sparisoma.cretense,0.02214006792829968,0.049079156034261995,0.049079156034261995
temp_Siganus.rivulatus,0.22760035136955994,-0.33085443309977314,-0.33085443309977314
Siganus.rivulatus,0.1533616645197093,0.2715869518228699,0.2715869518228699
mpa_Siganus.luridus,0.13912352824075727,0.258672812757323,0.258672812757323
prod,0.11160848341303772,-0.23168562964189,-0.25036134659107984
Siganus.luridus,0.10824230003455523,0.22816498666338056,0.22816498666338056
prod_Siganus.luridus,0.08294270597358558,-0.19972829470617715,-0.19972829470617715
mpa,0.04284605601339812,-0.1435508999829012,-0.1435508999829012
depth_Sarpa.salpa,0.03504025527493607,-0.1298177640646682,-0.1298177640646682
prod_Sarpa.salpa,0.031046901173987874,0.1221967410728634,0.1221967410728634
temp_Siganus.luridus,0.017381406838386425,0.09143089194783413,0.09143089194783413
depth_Siganus.rivulatus,0.01603377137098721,0.08781492551916867,0.08781492551916867
mpa_Sarpa.salpa,0.010219115140461773,0.0701063150573849,0.0701063150573849
