data_origin,transect,lon,lat,site,unique_ID,Coris.julis,Diplodus.annularis,Diplodus.puntazzo,Labrus.merula,Thalassoma.pavo,Diplodus.sargus,Sarpa.salpa,Serranus.scriba,Serranus.cabrilla,Chromis.chromis,Symphodus.melanocercus,Oblada.melanura,Symphodus.tinca,Diplodus.vulgaris,Scorpaena.porcus,Symphodus.roissali,Apogon.imberbis,Dentex.dentex,Dicentrarchus.labrax,Epinephelus.marginatus,Sciaena.umbra,Sparus.aurata,Parablennius.gattorugine,Labrus.viridis,Seriola.dumerili,Symphodus.rostratus,Parablennius.sanguinolentus,Muraena.helena,Mullus.surmuletus,Symphodus.mediterraneus,Gobius.cruentatus,Scorpaena.notata,Symphodus.ocellatus,Spicara.maena,Spondyliosoma.cantharus,Boops.boops,Labrus.mixtus,Sphyraena.viridensis,Symphodus.cinereus,Epinephelus.costae,Gobius.paganellus,Phycis.phycis,Oedalechilus.labeo,Sparisoma.cretense,Scorpaena.maderensis,Sphyraena.sphyraena,Dactylopterus.volitans,Caranx.crysos,Scorpaena.scrofa,Belone.belone,Fistularia.commersonii,Scartella.cristata,Siganus.luridus,Symphodus.doderleini,Parablennius.incognitus,Lithognathus.mormyrus,Lichia.amia,Spicara.smaris,Serranus.hepatus,Dicentrarchus.punctatus,Ctenolabrus.rupestris,Anthias.anthias,Pagrus.pagrus,Sardina.pilchardus,Diplodus.cervinus,Parablennius.tentacularis,Gobius.cobitis,Atherina.boyeri,Siganus.rivulatus,Mycteroperca.rubra,Sargocentron.rubrum,Pempheris.vanicolensis,Taeniura.grabata,Pomadasys.incisus,Stephanolepis.diaspros,Scarus.ghobban,Dasyatis.pastinaca,Plotosus.lineatus,Torquigener.flavimaculosus,Lagocephalus.sceleratus,Pseudocaranx.dentex,Pagellus.acarne,Pagellus.erythrinus,Symphodus.melops,Mugil.cephalus,Lagocephalus.spadiceus,Trisopterus.minutus,Conger.conger,Chelon.labrosus,Liza.aurata,Epinephelus.caninus,Pomatomus.saltatrix,Synodus.saurus
azz_asi,1,7.898180497,41.07740853,ASINARA_add,azz_asi-1-ASINARA_add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azz_asi,10,7.898180497,41.07740853,ASINARA_add,azz_asi-10-ASINARA_add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azz_asi,100,8.155,41,ASINARA_add,azz_asi-100-ASINARA_add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azz_asi,101,8.155,41,ASINARA_add,azz_asi-101-ASINARA_add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azz_asi,102,8.155,41,ASINARA_add,azz_asi-102-ASINARA_add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azz_asi,103,8.155,41,ASINARA_add,azz_asi-103-ASINARA_add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azz_asi,104,8.155,41,ASINARA_add,azz_asi-104-ASINARA_add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azz_asi,105,8.155,41,ASINARA_add,azz_asi-105-ASINARA_add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azz_asi,106,8.212,41.005,ASINARA_add,azz_asi-106-ASINARA_add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azz_asi,107,8.212,41.005,ASINARA_add,azz_asi-107-ASINARA_add,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
